Ordering	Cost
41325	578
25134	558
31542	508
21354	706
32145	654
52431	332
41532	442
23415	592
34125	554
52341	378
24315	556
45312	294
35142	448
45213	368
53214	408
43521	324
41523	474
42513	418
31245	690
14235	668
43512	356
43215	486
34215	508
41253	580
45123	414
24315	556
53142	416
45312	294
15342	500
53124	454
34152	504
24351	478
15342	500
51324	500
52314	444
21435	692
13452	592
41532	442
41532	442
21534	618
23514	518
51234	546
54132	360
23145	676
23514	518
15324	560
32154	622
45132	382
12345	760
52341	378
23415	592
13425	658
54213	346
31425	626
25341	422
24531	412
54231	286
12534	640
51432	394
35421	310
21543	586
45231	308
13425	658
42513	418
13452	592
12453	654
12453	654
42153	544
35412	342
23451	514
32451	492
42513	418
12354	728
14523	522
12453	654
34215	508
21435	692
25431	376
24513	456
45321	262
41532	442
23541	468
45312	294
53214	408
45123	414
15423	486
51324	500
41523	474
41352	506
53124	454
53421	276
34251	430
13245	724
15342	500
53241	342
43512	356
21543	586
51342	440
54312	272
25413	420
23541	468
42351	444
24135	620
24531	412
42531	380
31524	552
35124	492
23145	676
42531	380
24531	412
14532	490
24135	620
12435	714
13542	546
54132	360
15324	560
12543	608
23145	676
31425	626
54213	346
34215	508
41532	442
12543	608
15243	574
35142	448
41253	580
12435	714
51243	514
32415	570
53421	276
25134	558
35124	492
42513	418
32514	496
23514	518
24135	620
43152	482
25431	376
25431	376
35214	446
35142	448
35241	374
15423	486
51324	500
51324	500
14253	630
52314	444
24135	620
23145	676
53421	276
52341	378
24153	582
41523	474
21543	586
13524	584
12354	728
52431	332
43152	482
43152	482
45312	294
15342	500
43512	356
42315	522
14352	556
54231	286
42153	544
34125	554
51423	426
25314	494
35124	492
34521	346
34251	430
34152	504
34125	554
12354	728
15234	606
54132	360
51342	440
53142	416
35142	448
31542	508
42351	444
52143	478
52314	444
12354	728
32145	654
42135	588
32145	654
32514	496
51243	514
21534	618
24531	412
24135	620
34125	554
52143	478
31452	554
31542	508
43521	324
32541	446
32145	654
31524	552
32514	496
53421	276
53241	342
23145	676
23154	644
42135	588
23451	514
35214	446
23415	592
25143	526
23145	676
42135	588
15423	486
35412	342
35412	342
14532	490
12354	728
32415	570
35124	492
54123	392
